address,label,in_degree,out_degree,in_strength,out_strength
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,Yearn Vault,0,10,0.0,171096573.88103405
0xfb7c06ddd70c74ac2f68d0f947be3b4c503e3d6c,DAI Strategy,1,1,1817967.0330860002,1817967.0330860002
0x0a59649758aa4d66e25f08dd01271e891fe52199,SkyUSDC,1,0,1817967.0330860002,0.0
0x7ee351aa702c8fc735d77fb229b7676ac15d7c79,Compound V3Lender,1,1,46375105.11329401,46376901.88109901
0xc3d688b66703497daa19211eedff47f25384cdc3,Compound USDC Token,1,0,46376901.88109901,0.0
0xbdb97ec319c41c6fa383e94ece6bdf383dfc7be4,AaveV3 Lender,1,1,14428432.064564003,14428432.064564003
0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,Aave,2,0,41988705.833914,0.0
0x459f99d7c83bc3653b1913b62d2978b1deda01b5,Yearn ysUSDC,1,1,8354641.023767001,8354641.023767001
0x37305b1cd40574e4c5ce33f8e8306be057fd7341,Sky,2,0,40402729.87535401,0.0
0x25f893276544d86a82b1ce407182836f45cb6673,Spark Lender,1,1,1891447.89505,1891447.89505
0x377c3bd93f2a2984e1e7be6a5c22c525ed4a4815,Spark USDC,1,0,1891447.89505,0.0
0xf766c7293f4e0265ddfa8369f78a808df8ac70c1,Aave V3 Lender,1,1,27560273.769349992,27560273.769349992
0x602da189f5ada033e9ac7096fc39c7f44a77e942,Yearn ysUSDC,1,1,32048088.851587005,32048088.851587005
0x522478b54046ab7197880f2626b74a96d45b9b02,AaveV3 Lender,1,1,3363993.7431850005,3363993.7431850005
0x2a1fbcb52ed4d9b23dad17e1e8aed4bb0e6079b8,Aave token instance,1,0,3363993.7431850005,0.0
0x074134a2784f4f66b6ced6f68849382990ff3215,Morpho Compounder,1,1,18176867.538705003,18178622.357540004
0xbeef01735c132ada46aa9aa4c54623caa92a64cb,Meta Morpho,1,1,18178622.357540004,18178622.357540004
0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,Morpho,2,0,35261719.615649,0.0
0x694e47afd14a64661a04eee674fb331bcdef3737,Morpho Compounder,1,1,17079756.848446,17083097.258109
0xdd0f28e19c1780eb6396170735d45153d261490d,Meta Morpho,1,1,17083097.258109,17083097.258109
